nombre,categoria,tiempo,dificultad,porciones,ingredientes,pasos,img,user
LICOR DE CAFÉ,Bebidas,10 mins,Facil,8,"['1 1/2 tazas de café expreso', '1 1/2 tazas de azúcar morena', '1 raja de canela', '750 mililitros de alcohol de caña']","['Calienta el café expreso, la azúcar morena y la raja de canela en una olla a fuego medio por 10 minutos. Se formará una especie de jarabe. Deja enfriar en un bowl por 1 hora.', 'Cuando el jarabe esté frío, agrega el alcohol de caña y mezcla muy bien.', 'Sirve el licor de café en un vaso con hielo y disfruta.']",https://cdn7.kiwilimon.com/brightcove/9562/9562.jpg,18
CAFÉ TRES LECHES,Bebidas,20 mins,Facil,1,"['18 cucharadas de café molido, para preparar en tu Royal prestige® Barista', '9 tazas de agua', '1/4 tazas de leche evaporada', '1/4 tazas de crema para batir', '2 cucharadas de dulce de leche', '1 cucharada de caramelo, líquido', 'suficiente de hielo', 'al gusto de dulces de caramelo, para decorar']","['Agrega el café al Royal Prestige® Barista.', 'Añade agua y tapa con el pistón levantado.', 'Alinea el ícono de calentar con el pico servidor.', 'Abre la válvula y calienta a fuego medio-alto hasta que silbe y retira inmediatamente del fuego.', 'Deja reposar por 2 minutos y empuja el pistón lentamente hasta llegar al fondo.', 'Cierra la válvula, gira al ícono de servir y espera a que se enfríe.', 'Vierte el caramelo líquido en un vaso.', 'Añade el hielo y 1 taza de café frío.', 'Mezcla la leche evaporada, la crema y el dulce de leche en un tazón.', 'Vierte en el vaso.', 'Decora el café tres leches y disfruta.']",https://cdn7.kiwilimon.com/brightcove/9523/9523.jpg,19
ATOLE DE NARANJA,Bebidas,10 mins,Facil,4,"['1 taza de agua, tibia', '1 taza de Mermelada Smucker’s® de naranja', '250 gramos de masa de maíz nixtamalizado, preparada, sin manteca', '2 tazas de agua', '1 taza de leche, tibia', '1 cucharada de cúrcuma', '2 clavos de olor', 'suficiente de naranja, para decorar (en rebanadas)']","[""Vierte el agua tibia y la Mermelada Smucker's® de naranja en un bowl. Posteriormente, disuelve muy bien la mermelada con ayuda de una cuchara."", 'Vierte el agua con la Mermelada Smucker’s® de naranja disuelta en una olla mediana, añade las especias y la cáscara de naranja. Calienta por unos minutos.', 'Vierte la leche tibia en una bowl y agrega la masa de maíz poco a poco, disolviéndola completamente. Una vez disuelta toda la masa, vierte la preparación en la olla que contiene la mezcla del agua con mermelada y especias, mezclando constantemente hasta que la preparación se espese. Retira el atole del calor.', 'Cuela el atole de naranja, sirve en tazas y adorna con una rodaja de naranja.']",https://cdn7.kiwilimon.com/brightcove/9492/9492.jpg,20
MALTEADA NAPOLITANA,Bebidas,14 mins,Facil,4,"['4 bolas de helado de vainilla bajo en grasa, medianas', '1/2 tazas de leche reducida en grasa, 250 ml', '4 bolas de helado de chocolate bajo en grasa, medianas', '1/2 tazas de leche reducida en grasa, 250 ml', '4 bolas de helado de fresa bajo en grasa, medianas', '1/2 tazas de leche reducida en grasa, 250 ml', '1 Galletas Cremax® de fresa, para decorar', '1 Galletas Cremax® de fresa, para decorar', '1 Galletas Cremax® de vainilla, para decorar', 'suficiente de fresa, para decorar', '1 cucharadita de chispas de chocolate, amargo al 70 %, sin azúcares añadidos, para decorar']","['Licúa el helado de vainilla bajo en grasa con la leche reducida en grasa hasta obtener una mezcla cremosa. Repite con el helado de chocolate y el de fresa.', 'Arma la malteada en un vaso alto, intercala los sabores de la malteada sirviendo suavemente para evitar que se mezclen, pues la idea es formar capas y figuras garigoleadas con los sabores.', 'Corta las Galletas Cremax® de chocolate, las Galletas Cremax® de fresa y las Galletas Cremax® de vainilla a la mitad.', 'Decora la malteada napolitana con Galletas Cremax® de vainilla, Galletas Cremax® de fresa, Galletas Cremax® de chocolate, fresas y chispas de chocolate.']",https://cdn7.kiwilimon.com/brightcove/9392/9392.jpg,21
¿CÓMO HACER ESQUIMOS CASEROS?,Bebidas,12 mins,Facil,2,"['2 tazas de hielo', '1/2 tazas de leche evaporada', '3/4 tazas de leche entera', '2 cucharadas de leche en polvo', '1/4 tazas de azúcar', '3 cucharadas de Cocoa Alcalina NESTLÉ® Chocolatería', 'suficiente de Chocolate Con Leche NESTLÉ® Chocolatería, derretido, para acompañar', 'suficiente de Chocolate Con Leche NESTLÉ® Chocolatería, en trozos, para decorar']","['Licúa los hielos, la leche evaporada, la leche entera, la leche en polvo, el azúcar y la Cocoa Alcalina NESTLÉ® Chocolatería, únicamente hasta deshacer un poco el hielo, pero deben quedar trocitos visibles (2 minutos aproximadamente).', 'Pasa esta mezcla a un vaso y bate con un espumador eléctrico o un batidor globo por 3 minutos, hasta que espume muy bien y los trocitos de hielo terminen de deshacerse.', 'Vierte el Chocolate Con Leche NESTLÉ® Chocolatería derretido en un vaso grande, vierte el esquimo y agrega trocitos de Chocolate Con Leche NESTLÉ® Chocolatería.']",https://cdn7.kiwilimon.com/brightcove/9235/9235.jpg,22
RECETA DE TINTO DE VERANO,Bebidas,13 mins,Facil,4,"['2 limones, sin semilla', '1 naranja', '1 limón amarillo', 'suficiente de hielo', '3 tazas de refresco de limón', '3 tazas de vino tinto']","['Corta el limón, la naranja y el limón amarillo en rodajas.', 'Añade los hielos en una jarra de 1.5 litros, agrega los cítricos en rodajas y llena hasta la mitad con el refresco de limón.', 'Vierte el vino tinto hasta llenar la jarra, mezcla con una cuchara y deja enfriar.', 'Sirve el tinto de verano en una copa, ¡te encantará!']",https://cdn7.kiwilimon.com/brightcove/9211/9211.jpg,23
¿CÓMO HACER CHAMOY PARA MICHELADAS?,Bebidas,25 mins,Facil,4,"['1 taza de dulce de tamarindo', '1/2 tazas de chamoy', '1/2 tazas de chile en polvo', '1 taza de azúcar', '1/4 tazas de jugo de limón', 'suficiente de ajonjolí garapiñado', 'suficiente de jugo sazonador', 'suficiente de salsa inglesa', 'suficiente de jugo de limón', 'suficiente de salsa picante', 'suficiente de jugo de tomate con almejas', 'suficiente de cerveza']","['Agrega el dulce de tamarindo y el chamoy en una olla, luego cocina por 15 minutos o hasta que el dulce se derrita.', 'Agrega el chile en polvo, el chamoy en polvo, el azúcar y el jugo de limón, después mueve con ayuda de una cucharita de madera. Mezcla y cocina a fuego medio, pero el tiempo de cocción depende del tipo de chamoy que quieras hacer. Si es para acompañar fruta y verdura, cocina por 5 minutos. Si el chamoy es para escarchar y para micheladas, entonces cocina a fuego medio-bajo por 10 minutos o hasta tener la consistencia deseada.', 'Para escarchar una michelada: vierte en chamoy en un plato y sumerge para cubrir la orilla del mismo, luego llena con cerveza y disfruta.']",https://cdn7.kiwilimon.com/brightcove/9154/9154.jpg,24
RECETA DE CLERICOT,Bebidas,30 mins,Facil,6,"['1/4 sandías, sin cáscara', '1/4 melones, sin semillas ni cáscara', '1 pera', '2 manzanas, roja y amarilla', '6 tazas de refresco de limón', '3 tazas de agua mineral', '750 mililitros de vino tinto', 'suficiente de hielo, en cubos', 'suficiente de limón, en rodajas, para decorar']","['Pica la sandía, el melón y la pera en cubos. También corta la manzana en rodajas, pero deja la cáscara para mayor color y sabor; no olvides retirar el corazón.', 'Vierte la fruta en una jara con una capacidad de 6 litros, después añade el refresco de limón, el agua mineral y el vino tinto. Integra muy bien.', 'Sirve hielos en un vaso, luego la fruta envinada y añade el clericot. Decora con rodajas de limón.']",https://cdn7.kiwilimon.com/brightcove/9082/9082.jpg,25
HORCHATA DE AVENA,Bebidas,35 mins,Facil,4,"['1 taza de avena', '2 agua', '1 lata de leche evaporada', '3/4 tazas de azúcar', '1 raja de canela', '2 cucharaditas de extracto de vainilla']","['Verter la leche evaporada junto con una raja de canela en un vaso de licuadora.', 'Agregar la avena Quaker ®, agua, el azúcar y el extracto de vainilla.', 'Licuar hasta integrar todo por completo.', 'Colar para evitar que se vayan trozos de canela.', 'Agregar hielos.', 'Servir muy fría y adornar con más hojuelas de avena.']",https://cdn7.kiwilimon.com/brightcove/313/313.jpg,26
RECETA DE CANTARITOS LOCOS,Bebidas,40 mins,Facil,6,"['1 taza de pulpa de tamarindo, líquida, ideal para escarchar', '1/2 tazas de chile en polvo, para escarchar', '1 naranja, para cortar en gajos', '1 toronja, para cortar en gajos', 'suficiente de hielo', '2 limones, sin semillas', '1 cucharadita de sal', '1/4 tazas de jugo de naranja, sin semillas', '1/4 tazas de jugo de toronja, sin semillas', '1/4 tazas de tequila blanco', 'suficiente de refresco de toronja', 'suficiente de naranja, en cuartos, escarchada con chile para decorar', 'suficiente de toronja, en rodajas cortadas en cuartos, para decora']","['Coloca la pulpa de tamarindo en un plato extendido, enseguida pasa el cantarito boca abajo hasta cubrir la orilla perfectamente. Posteriormente, pasa el cantarito sobre un plato con chile en polvo para escarchar. Reserva.', 'Corta cada extremo de la naranja y retira la cáscara, luego desliza el cuchillo cuidadosamente por cada gajo para obtener solo la fruta y repite el mismo procedimiento con la toronja. Reserva.', 'Coloca el hielo en el cantarito ya escarchado con tamarindo y chile, exprime el limón, agrega la sal, el jugo de naranja, el jugo de toronja, el tequila, los gajos de naranja y toronja al gusto y rellena con el refresco de toronja. Finalmente, mezcla muy bien con ayuda de una cuchara o agitador.', 'Decora el cantarito con más rodajas de naranja escarchada y toronja. Disfruta.']",https://cdn7.kiwilimon.com/brightcove/8996/8996.jpg,27
LASAÑA DE ATÚN CON VERDURAS,pastas,38 mins,Facil,6,"['4 latas de Atún Herdez® en agua , 90 g cada unidad', '2 cucharadas de aceite de oliva', '1/2 tazas de cebolla, finamente picada', '1 cucharadita de ajo, finamente picado', '1 taza de elote amarillo', '1/2 tazas de chícharo', '3/4 tazas de puré de tomate', 'suficiente de sal', 'suficiente de pimienta', '1 paquete de pasta para lasaña, precocida', '1 taza de crema', '2 tazas de queso manchego, rallado', 'suficiente de hoja de albahaca']","['Drena el Atún Herdez® en agua quitando muy bien todo el líquido. Reserva.', 'Agrega el aceite de oliva en una sartén y sofríe la cebolla y el ajo, cuando cambien de color agrega el atún drenado y deja cocinar por 4 minutos. Agrega el elote, el chícharo y el puré de tomate a la misma sartén, luego sazona con sal, pimienta y cocina por 4 minutos más. Reserva.', 'Para armar la lasaña: coloca una capa de pasta de lasaña en un refractario, posteriormente agrega una capa del relleno de atún, dos cucharadas de crema cubriendo el atún y posteriormente el queso rallado. Repite hasta cubrir todo el molde, terminando con capa de queso.', 'Hornea la lasaña de atún a 180 °C por 30 minutos.', 'Sirve la lasaña de atún con verduras en el mismo refractario y decora con hojas de albahaca.']",https://cdn7.kiwilimon.com/brightcove/8994/8994.jpg,28
MALTEADA DE FRESA CON BROWNIE,Bebidas,25 mins,Facil,4,"['1 caja de Duncan Hines® chewy fudge brownie, para el brownie', '1 huevo, para el brownie', '1/4 tazas de agua, para el brownie', '1/4 tazas de aceite vegetal, para el brownie', '6 bolas de helado de fresa, para la malteada', '2 tazas de fresa, cortadas en cuartos, para la malteada', '1/2 tazas de leche evaporada, para la malteada', '4 cucharadas de leche en polvo', '1 taza de fresa, enteras, tamaño pequeño, bonitas, para decorar', 'suficiente de crema batida, para decorar', 'suficiente de chocolate, derretido, para decorar', 'suficiente de chispas de chocolate, para decorar']","['Vacía el contenido Duncan Hines® chewy fudge brownie en un bowl, después agrega el huevo, el agua, el aceite vegetal y mezcla con ayuda de un batidor globo.', 'Pasa la mezcla de Duncan Hines® chewy fudge brownie a una charola o refractario engrasado y hornea a 165 °C por aproximadamente 25-30 minutos. Retira del horno y deja enfriar a temperatura ambiente.', 'Mientras, prepara la malteada: Licúa el helado de fresa con las fresas, la leche en polvo y la leche evaporada. Recuerda que la malteada debe quedar muy espesa. Mientras está listo el brownie, consérvala en congelación.', 'Corta el brownie Duncan Hines® chewy fudge brownie en cuadros de aproximadamente 3x3 cm.', 'Decora el vaso con chocolate derretido, vierte un poco de la malteada de fresa y añade unos trozos de brownie, vierte un poco de malteada nuevamente, trozos de brownie y así sucesivamente hasta llenar el vaso.', 'Forma una brocheta con fresas y cuadritos de brownie para decorar la malteada, luego añade un poco de crema batida y chispas de chocolate. Coloca un popote y una cuchara larga para disfrutar la malteada de fresa con brownie como más te guste.']",https://cdn7.kiwilimon.com/brightcove/8761/8761.jpg,29
AGUA DE ALFALFA,Bebidas,30 mins,Facil,2,"['1 puño de germen de alfalfa', '1 pepino', '3 centimetros de jengibre', '1 limón, grande', '1/2 manojos de perejil fresco', 'hojas de menta fresca', 'endulzantes sin calorías, o stevia', '500 mililitros de agua', 'hielos']","['Cortar los extremos del pepino y pelarlo.', 'Pelar el jengibre con ayuda de una cuchara.', 'Partir el limón a la mitad, exprimirlo.', 'Servir en un vaso con suficiente hielo.', 'Licuar el germinado, ½ pepino, el jugo de limón, las ramas de perejil, hojas de menta, el endulzante y el agua.']",https://cdn7.kiwilimon.com/brightcove/437/437.jpg,30
ATOLE DE PIÑA QUE NO SE CORTA,Bebidas,15 mins,Facil,6,"['1/2 piñas', '3 tazas de agua', '4 cucharadas de fécula de maíz', '1 taza de agua, para cocinar la piña', '1/2 tazas de azúcar', '1 raja de canela']","['Corta la piña en cubos medianos sobre una tabla, retirando la cáscara perfectamente. Reserva lo equivalente a media taza de la piña que picaste y licúa el resto junto con el agua y la fécula de maíz hasta integrar por completo. Reserva.', 'Agrega la media taza de piña que reservaste en una olla junto con el resto de agua, el azúcar y una raja de canela. Cocina hasta que el líquido hierva, moviendo ocasionalmente.', 'Una vez que el líquido suelte el hervor, vierte lo licuado pasando por un colador. Incorpora y cocina a fuego medio-bajo hasta que el líquido hierva y espese ligeramente.', 'Sirve el atole de piña caliente acompañado de una raja de canela y ¡disfruta!']",https://cdn7.kiwilimon.com/brightcove/8630/8630.jpg,31
6 JUGOS DETOX,Bebidas,20 mins,Facil,1,"['1/4 jengibre, Verde quema grasa', '1 limón amarillo, Verde quema grasa', '1/2 tazas de kale, Verde quema grasa', '1/2 tazas de espinaca, Verde quema grasa', '1/4 manojos de perejil, Verde quema grasa', '1 manzana, Verde quema grasa', '2 apios, tallos Verde quema grasa', '1/4 pepinos, Verde quema grasa', '1/8 jengibre, Verde quema grasa', '2 limones, Verde quema grasa', '1/2 pepinos, Verde hidratante', '1 taza de espinaca, Verde hidratante', '1 manzana, Verde hidratante', '1 limón, Verde hidratante', '1 taza de agua de coco, Verde hidratante', '1 taza de piña, Amarillo Energizante', '1 manzana, Amarillo Energizante', '1 rama de menta, Amarillo Energizante', '1 chile serrano, Amarillo Energizante', '2 limones, Amarillo Energizante', '1 betabel, Rojo revitalizante', '1 manzana, Rojo revitalizante', '1 zanahoria, Rojo revitalizante', '1/4 jengibre, Rojo revitalizante', '2 limones, Rojo revitalizante', '1 taza de toronja, Naranja anti antojos', '1 taza de naranja, Naranja anti antojos', '1/4 cucharadas de pimienta cayena, Naranja anti antojos', '1 taza de leche de almendra, Postre saludable', '1 cucharadita de canela, Postre saludable', '1 cucharadita de vainilla líquida, Postre saludable', '1 pizca de sal, Postre saludable', '1/4 tazas de dátil sin hueso, Postre saludable']","['Coloca los ingredientes de cada jugo en un extractor para jugo y procesa. Vierte en un vaso, si es necesario agrega un poco de agua para aligerar.']",https://cdn7.kiwilimon.com/brightcove/3854/3854.jpg,32
PONCHE,Bebidas,15 mins,Media,10,"['canela, al gusto', '4 tazas de agua de jamaica', '10 guayabas, cortadas a la mitad', '1 1/2 tazas de tamarindo', '20 tejocotes', '1 taza de pasa', '2 tazas de chabacano, seco', '2 tazas de ciruela pasa', '10 cañas, en trozos', '8 manzanas, en rodajas', 'té negro, al gusto', 'clavos, al gusto']","['Mezclar todos los ingredientes y 15 21 de agua en una olla grande.', 'Cocer a fuego bajo por 1 hora y media.']",https://cdn7.kiwilimon.com/brightcove/1084/1084.jpg,33
COFFEE TONIC COLD BREW,Bebidas,30 mins,Facil,1,"['50 gramos de café, San Alberto, molido', '500 mililitros de agua, fría', '150 mililitros de café, cold brew, para el coffee tonic', '50 mililitros de agua tónica, para el coffee tonic', '2 cubos de hielo, para el coffee tonic', '1 limón, rodaja, para el coffee tonic']","['Para el cold brew, en una jarra de vidrio agrega el café molido y enseguida vierte el agua fría sobre él. Revuelve constantemente con ayuda de una cuchara.', 'Tapa la jarra con film estirable y refrigera de 18 a 24 horas. Una vez que se cumplan 12 horas, revuelve nuevamente con la ayuda de una cuchara.', 'Una vez que pase el tiempo mencionado, filtra el líquido con un colador o un filtro de papel. Reserva en refrigeración.', 'Para el coffee tonic, agrega en un vaso 2 cubos de hielo y sirve 50 ml de agua tónica. Añade 150 ml. De cold brew. Decora con una rodaja de limón.']",https://cdn7.kiwilimon.com/brightcove/8587/8587.jpg,34
HORCHATA DE ALMENDRA CALIENTE,Bebidas,10 mins,Facil,4,"['1/4 tazas de almendra', '1/4 tazas de arroz, remojado en agua caliente por 15 minutos y escurre', '4 tazas de leche de almendra', '1 cucharadita de canela en polvo', '1 cucharadita de esencia de vainilla', '2 cucharadas de fruta del monje', 'suficiente de leche de almendra, para escarchar', 'suficiente de canela en polvo, para escarchar']","['Licúa la almendra junto con el arroz, la leche de almendra, la canela en polvo, la esencia de vainilla y la fruta del moje hasta integrar por completo.', 'Vierte lo licuado en una olla, calienta a fuego medio y mueve constantemente para que no se pegue, retira del fuego una vez que el líquido comience a hervir. Reserva caliente.', 'Escarcha un vaso apto para el calor con leche de almendra y canela en polvo, después sirve la horchata de almendra caliente y decora con una rama de canela.']",https://cdn7.kiwilimon.com/brightcove/8557/8557.jpg,35
¿CÓMO HACER LECHE DORADA?,Bebidas,5 mins,Facil,4,"['4 tazas de leche de soya', '5 rebanadas de jengibre', '1/2 cucharaditas de canela', '1 1/2 cucharadas de cúrcuma', 'suficiente de miel, al gusto']","['Calienta la leche de soya en una olla hasta que rompa hervor y después agrega el jengibre, la canela y la cúrcuma. Deja calentando por 5 minutos más.', 'Retira la leche dorada del calor y deja reposar 5 min.', 'Sirve la leche dorada caliente y disfruta.']",https://cdn7.kiwilimon.com/brightcove/8470/8470.jpg,36
